Time,CO2,Temperature,Humidity
11:15:06,609.0,26.06,71.61
11:30:01,610.0,25.25,79.74
11:45:01,616.0,25.40,79.03
12:00:01,623.0,25.56,78.62
12:15:01,648.0,25.63,78.22
12:30:01,514.0,25.90,76.34
12:45:06,493.0,26.21,75.42
13:00:05,499.0,26.41,74.65
13:15:04,504.0,26.45,74.33
13:30:01,529.0,26.51,74.30
13:45:06,544.0,26.63,74.06
14:00:01,548.0,26.77,73.88
14:15:12,539.0,26.87,73.78
14:30:01,557.0,27.00,73.55
14:45:01,560.0,27.04,73.58
15:00:01,572.0,27.07,73.60
15:15:01,508.0,27.15,73.30
15:30:01,516.0,27.27,73.11
15:45:01,494.0,27.21,73.07
19:30:10,778.0,27.57,70.72
19:45:01,614.0,26.49,79.06
20:00:06,506.0,26.54,77.99
20:15:01,510.0,26.56,77.74
20:30:01,495.0,26.53,77.46
20:45:01,496.0,26.44,77.20
21:00:01,548.0,26.89,76.80
21:15:05,586.0,26.97,76.23
21:30:10,601.0,26.96,76.50
21:45:01,688.0,27.14,76.46
22:00:09,676.0,27.12,76.50
22:15:04,852.0,27.59,75.84
22:30:01,755.0,27.65,75.52
22:45:01,844.0,27.64,75.55
23:00:01,834.0,27.53,75.89
00:00,1,1,1
