Time,CO2,Temperature,Humidity
00:00:07,822.0,26.42,74.82
00:15:06,799.0,26.24,75.36
00:30:15,790.0,26.09,75.65
00:45:04,782.0,26.02,75.85
01:00:10,772.0,25.93,76.11
01:15:01,770.0,25.89,76.32
01:30:01,764.0,25.85,76.53
01:45:01,760.0,25.79,76.73
02:00:01,755.0,25.74,76.85
02:15:01,751.0,25.70,76.96
02:30:08,748.0,25.66,77.05
02:45:05,752.0,25.64,77.20
03:00:08,742.0,25.59,77.28
03:15:07,739.0,25.58,77.30
03:30:01,737.0,25.50,77.43
03:45:02,731.0,25.46,77.58
04:00:04,729.0,25.45,77.59
04:15:01,729.0,25.42,77.69
04:30:01,723.0,25.38,77.72
04:45:01,723.0,25.32,77.88
05:00:01,716.0,25.29,77.91
05:15:06,717.0,25.27,77.98
05:30:07,716.0,25.23,78.04
05:45:01,714.0,25.22,78.10
06:00:06,713.0,25.18,78.20
06:15:08,708.0,25.15,78.13
